1589047200000,4.10240000,4.11010000,4.05700000,4.06990000,499041.10000000,1589050799999,2035525.90535900,4807,232027.03000000,946793.18022700,0
1589050800000,4.06990000,4.11420000,4.06930000,4.10020000,292336.56000000,1589054399999,1197783.10204100,3296,157428.10000000,644984.22493400,0
1589054400000,4.10010000,4.12850000,4.06440000,4.08190000,382471.48000000,1589057999999,1568271.66587800,4125,177694.08000000,729062.87369900,0
1589058000000,4.08210000,4.12790000,4.07190000,4.08220000,287268.16000000,1589061599999,1177635.09712700,3649,113011.66000000,463616.84309400,0
1589061600000,4.08070000,4.10330000,4.01950000,4.04010000,455421.85000000,1589065199999,1847135.57274400,4173,186483.97000000,756518.66274800,0
1589065200000,4.04010000,4.06410000,4.01000000,4.01500000,398170.87000000,1589068799999,1605453.32315600,3772,180158.28000000,726182.10924500,0
1589068800000,4.01490000,4.01970000,3.46020000,3.76600000,4728618.99000000,1589072399999,17592325.64726700,32013,2054771.19000000,7607241.76687800,0
1589072400000,3.76370000,3.85130000,3.67430000,3.75200000,1869753.50000000,1589075999999,7042975.34692900,15807,916429.60000000,3455241.06439800,0
1589076000000,3.75240000,3.76110000,3.64070000,3.64980000,764066.84000000,1589079599999,2836238.90405500,7183,333216.92000000,1239190.86088000,0
1589079600000,3.64990000,3.71540000,3.56020000,3.66180000,1287295.01000000,1589083199999,4692124.43763200,10157,649801.65000000,2370312.65324700,0
1589083200000,3.66180000,3.69090000,3.59440000,3.66510000,1030498.49000000,1589086799999,3755486.25661300,9084,505203.61000000,1841095.23639700,0
1589086800000,3.66700000,3.68800000,3.64320000,3.66820000,518729.02000000,1589090399999,1900713.62681300,5137,291649.68000000,1068714.13683200,0
1589090400000,3.66860000,3.72700000,3.64360000,3.70350000,445366.39000000,1589093999999,1645508.31396600,4838,247215.97000000,913993.82802900,0
1589094000000,3.70170000,3.83790000,3.69800000,3.80040000,1059310.44000000,1589097599999,4010990.78412600,9686,559242.78000000,2116892.19797000,0
1589097600000,3.79990000,3.84190000,3.77460000,3.78020000,676770.94000000,1589101199999,2573919.65077800,6549,363787.54000000,1384473.98900500,0
1589101200000,3.78000000,3.79700000,3.73490000,3.73490000,320799.90000000,1589104799999,1209410.65296800,4216,128953.16000000,486843.28638300,0
1589104800000,3.73810000,3.81100000,3.73210000,3.79990000,350310.12000000,1589108399999,1322156.38551400,4468,179177.75000000,675872.04868200,0
1589108400000,3.80000000,3.80700000,3.73980000,3.76770000,319777.56000000,1589111999999,1203745.40066300,3755,167838.88000000,631641.43258300,0
1589112000000,3.76550000,3.79390000,3.75830000,3.78550000,205538.15000000,1589115599999,776889.67987500,2097,110413.63000000,417239.36139600,0
1589115600000,3.78550000,3.80060000,3.76590000,3.78740000,210628.78000000,1589119199999,797842.53321100,2481,129743.17000000,491736.45650400,0
1589119200000,3.79010000,3.79880000,3.73930000,3.75230000,322771.12000000,1589122799999,1218838.26813300,3518,145888.29000000,550843.56643600,0
1589122800000,3.75220000,3.84000000,3.74780000,3.79930000,584979.34000000,1589126399999,2221666.75467300,5933,294641.82000000,1119729.30473800,0
1589126400000,3.79910000,3.81460000,3.57690000,3.58230000,1425593.74000000,1589129999999,5272168.31240000,12149,620035.09000000,2299784.83910900,0
1589130000000,3.57690000,3.72630000,3.57570000,3.69420000,1000056.95000000,1589133599999,3679887.00606600,8726,534724.23000000,1967365.23564700,0
1589133600000,3.69560000,3.72000000,3.64510000,3.68070000,462016.64000000,1589137199999,1699370.48600500,4024,174126.08000000,641381.49734000,0
1589137200000,3.68280000,3.70800000,3.66400000,3.67670000,314360.23000000,1589140799999,1160247.39856000,2890,152876.56000000,564492.47571000,0
1589140800000,3.67850000,3.77230000,3.67850000,3.74280000,932899.74000000,1589144399999,3494583.06964700,8102,454101.37000000,1700263.05968200,0
1589144400000,3.74050000,3.79040000,3.73000000,3.77370000,286634.08000000,1589147999999,1077221.01635900,3243,152194.80000000,572171.75263800,0
1589148000000,3.77140000,3.79890000,3.72360000,3.74440000,309041.01000000,1589151599999,1162553.00224400,3512,129300.05000000,486721.08059700,0
1589151600000,3.74440000,3.78000000,3.71230000,3.75820000,392571.75000000,1589155199999,1472499.22144600,4145,185479.65000000,696104.95914300,0
1589155200000,3.75740000,3.83200000,3.75410000,3.81900000,397852.11000000,1589158799999,1513277.15596200,4045,233846.55000000,889877.50862400,0
1589158800000,3.81990000,3.82250000,3.77000000,3.78150000,191709.68000000,1589162399999,727352.60887800,2336,87339.95000000,331438.32076900,0
1589162400000,3.78270000,3.81720000,3.77000000,3.80830000,115167.58000000,1589165999999,437519.92815400,1549,69604.76000000,264493.30966200,0
1589166000000,3.81010000,3.83010000,3.77200000,3.79060000,194466.78000000,1589169599999,738926.94176800,2475,72023.38000000,273871.68470200,0
1589169600000,3.79090000,3.79470000,3.73760000,3.74980000,227892.26000000,1589173199999,859348.07031700,2388,108425.56000000,408982.75304800,0
1589173200000,3.74840000,3.80950000,3.74060000,3.80840000,308294.22000000,1589176799999,1165178.82055000,2693,195689.06000000,740040.00367400,0
1589176800000,3.80920000,3.81640000,3.77950000,3.78730000,282127.87000000,1589180399999,1071452.81252900,3203,121096.61000000,459996.17021200,0
1589180400000,3.78720000,3.79270000,3.73800000,3.74900000,346496.15000000,1589183999999,1303718.34627000,2856,150953.49000000,567773.65934900,0
1589184000000,3.75060000,3.75850000,3.68140000,3.73090000,454305.86000000,1589187599999,1687770.74140800,4091,215976.07000000,803072.82776900,0
1589187600000,3.73250000,3.73250000,3.66720000,3.68210000,432245.46000000,1589191199999,1596594.95773200,3850,216025.13000000,798032.79261300,0
1589191200000,3.68130000,3.75960000,3.68060000,3.72650000,424746.45000000,1589194799999,1582764.29867900,4359,196319.43000000,731499.84385500,0
1589194800000,3.72650000,3.77790000,3.72140000,3.75620000,346859.30000000,1589198399999,1298391.22799200,3261,155933.16000000,583911.33442100,0
1589198400000,3.75560000,3.78930000,3.70170000,3.72530000,686112.40000000,1589201999999,2574702.15854300,6295,309513.07000000,1161994.26065800,0
1589202000000,3.72340000,3.75630000,3.68950000,3.72050000,350837.19000000,1589205599999,1306791.82070300,4147,204128.78000000,760748.96651000,0
1589205600000,3.72190000,3.73970000,3.67400000,3.68950000,286820.54000000,1589209199999,1060657.49820500,2975,135830.80000000,502194.67262100,0
1589209200000,3.68990000,3.70780000,3.66000000,3.67660000,290371.53000000,1589212799999,1069482.77921400,3005,114143.91000000,420495.59954900,0
1589212800000,3.67470000,3.69000000,3.51680000,3.60290000,1131991.81000000,1589216399999,4076479.77898800,8041,518958.36000000,1866311.18239400,0
1589216400000,3.60040000,3.63680000,3.52700000,3.56310000,660655.82000000,1589219999999,2372754.74576700,6570,296534.86000000,1066129.44360800,0
1589220000000,3.56340000,3.56340000,3.28650000,3.46600000,2695562.16000000,1589223599999,9250587.59066200,18917,1303005.40000000,4476376.85382800,0
1589223600000,3.46600000,3.60640000,3.40210000,3.58070000,1527879.67000000,1589227199999,5340085.54477700,12487,735481.79000000,2573430.98874100,0
1589227200000,3.58280000,3.59660000,3.51020000,3.56670000,750010.05000000,1589230799999,2667678.56735400,6745,382694.17000000,1361294.24921200,0
